May 2019,"Hanover, IN

The Barrack",El Retablo de Las Maravillas by Cervantes,Hanover Theater in Spanish," 

Director: Dr. Alejandra Rodriguez-Villar",https://modlang.hanover.edu/elretablodelasmaravillas.php
February 2015,"Bozeman, MT

Black Box Theater",Don Quixote by Miguel de Cervantes,Intermountain Opera,"Actor/Actress: Jonathan Weir (Don Quixote), Daniella Dalli (Aldonza), and Mark David Kaplan (Sancho Panza)

Director:  Kevin Asslin

Company: Montana Shakespeare in the Parks (MSIP) and Intermountain Opera Bozeman (IOB)",https://stages.blogs.rice.edu/montana
2003,"Ashland, OR

New Theatre",Life of Federico García Lorca,Musings of the Heart Blog,"Actor/Actress: 

Director: Penny Metropulos

Company: Oregon Shakespeare Festival",https://stages.blogs.rice.edu/oregon
"May 6-29, 2010","Portland, OR

The Hollywood Theatre",Don Quixote by Miguel de Cervantes,Broadway World,"Actor/Actress: Gilberto Martín del Campo (El Quijote), Danny Bruno (Sancho Panza), Hadley Boyd (Housekeeper), Emily Gleason (Niece), Will Sonera Gregg (Priest), Rebecca Martínez (Teresa), Kevin-Michael Moore (Barber)

Director: Olga Sanchez

Company: Miracle MainStage theatre company",https://stages.blogs.rice.edu/oregon
"October 16-November 3, 2013","Columbia City, WA

Rainier Valley Cultural Center",Don Quixote by Miguel de Cervantes,eSe Teatro,"Actor/Actress: 

Director: Arlene Martinez

Company: eSe Teatro: Seattle Latinos Take Stage",https://stages.blogs.rice.edu/washington
"October, 2013","Seattle, WA

A Contemporary Theatre (ACT)","Compilation of Cervantes, Rojas, Cabeza de Vaca, etc.",eSe Teatro,"Actor/Actress: Angela Maestas, Laurel Paxton, Fernando Cavallo, Christi Cruz, Javonna Arriaga, Istvan Rez, León Reines, Carolynne Wilcox, Miguel Morales, Benito Vásquez

Director: Rose Cano and Meg Savloc

Company: eSe Teatro",https://stages.blogs.rice.edu/washington
"May 5-28, 2016","Seattle, WA

A Contemporary Theatre (ACT)",The House of Bernarda Alba by Federico García Lorca,eSe Teatro,"Actor/Actress: Javonna Arriaga, Sophie Franco, Meme García, Pilar O'Connell, Yolanda Suárez, Alma Villegas

Director: Rose Cano and Julie Beckham 

Company: eSe Teatro",https://stages.blogs.rice.edu/washington
1993,"San Luis, CO",Los Pastores,"Guerra, El teatro religioso, 1996, p. 91.",Company: Sangre de Cristo,https://stages.blogs.rice.edu/other
1962,Colorado,The Tragicomedy of Peribáñez and the Comendador of Ocaña by Lope de Vega (translated),U of Colorado at Boulder Archives,Company: University of Colorado at Boulder Theatre and Dance Department,https://stages.blogs.rice.edu/other
"December 3, 2010","Queens, New York","From Fuente Ovejuna to Ciudad Juarez, adaptation of Lope de Vega's Fuenteovejuna",https://thaliatheatre.org/,"Companies: Thalia Theatre; The Cross Border Project

Author (of adaptation): Surgio Adillo

Director: Lucia Rodriquez Miranda

Producers: Angel Gil Orrios and Lucia Rodriguez Miranda",https://stages.blogs.rice.edu/new-york-city
"September 12-16, 2018","Queens, New York","Federico y el público, adaptation of Lorca's El público, in Spanish with English supertitles",https://thaliatheatre.org/,"Company: Thalia Theatre

Director: Yesler de la Cruz",https://stages.blogs.rice.edu/new-york-city
"October 26, 2019","Queens, New York","Donkey Jote, Bilingual musical adapted from Cervantes' Don Quijote",https://thaliatheatre.org/2019/09/16/donkey-jote/,"Company: Thalia Theatre

Author (of adaptation): Ruben Dario

Director: Ruben Dario",https://stages.blogs.rice.edu/new-york-city
"December 3, 2010","Queens, New York","From Fuente Ovejuna to Ciudad Juarez, adaptation of Lope de Vega's Fuenteovejuna",https://thaliatheatre.org/,"Companies: Thalia Theatre; The Cross Border Project

Author (of adaptation): Surgio Adillo

Director: Lucia Rodriquez Miranda

Producers: Angel Gil Orrios and Lucia Rodriguez Miranda",https://stages.blogs.rice.edu/new-york-city
"September 12-16, 2018","Queens, New York","Federico y el público, adaptation of Lorca's El público, in Spanish with English supertitles",https://thaliatheatre.org/,"Company: Thalia Theatre

Director: Yesler de la Cruz",https://stages.blogs.rice.edu/new-york-city
"October 26, 2019","Queens, New York","Donkey Jote, Bilingual musical adapted from Cervantes' Don Quijote",https://thaliatheatre.org/2019/09/16/donkey-jote/,"Company: Thalia Theatre

Author (of adaptation): Ruben Dario

Director: Ruben Dario",https://stages.blogs.rice.edu/new-york-city
1979,GALA Theatre Venue,"De nuestras mujeres (About our Women), a bilingual presentation of poetry by Santa Teresa de Jesús, Sor Juan Inés de la Cruz and more",Past Productions,"Company: GALA Hispanic Theatre

Author of adaptation/translation: Egla Morales Blouin

Director: Egla Morales Blouin

PProducer: Hugo Medrano
Stage Manager: Richard Gaetjens

Producer: Hugo Medrano

Stage Manager: Richard Gaetjens",https://stages.blogs.rice.edu/washington-dc
"May 10-27, 1979",GALA Theatre Venue,"Federico, gracia y calor (Poems and dramatic scenes by Federico Garcia Lorca)",Past Productions,"Company: GALA Hispanic Theatre

Author of narration: Rafael Medrano

Director/Producer: Hugo Medrano

Stage Manager: Teresa Valaer

Musical Director: Paco de Málaga",https://stages.blogs.rice.edu/washington-dc
